Date,Open,High,Low,Close,Change(Pips),Change(%),
05/25/2023 22:00,172.555,172.633,172.34867,172.45,-10.5,-0.06,
05/25/2023 21:00,172.54,172.65,172.453,172.554,1.4,0.01,
05/25/2023 20:00,172.656,172.68095,172.49,172.54,-11.6,-0.07,
05/25/2023 19:00,172.404,172.677,172.35,172.656,25.2,0.15,
05/25/2023 18:00,172.48,172.601,172.37,172.401,-7.9,-0.05,
05/25/2023 17:00,172.237,172.495,172.13,172.479,24.2,0.14,
05/25/2023 16:00,172.285,172.428,172.2,172.243,-4.2,-0.02,
05/25/2023 15:00,172.41,172.546,172.18,172.301,-10.9,-0.06,
05/25/2023 14:00,172.177,172.561,172.15,172.402,22.5,0.13,
05/25/2023 13:00,172.422,172.584,172.05,172.176,-24.6,-0.14,
05/25/2023 12:00,172.558,172.586,172.13,172.431,-12.7,-0.07,
05/25/2023 11:00,172.477,172.681,172.46,172.544,6.7,0.04,
05/25/2023 10:00,172.728,172.745,172.4,172.484,-24.4,-0.14,
05/25/2023 09:00,172.52,172.773,172.49,172.72,20,0.12,
05/25/2023 08:00,172.206,172.621,172.14,172.519,31.3,0.18,
05/25/2023 07:00,172.473,172.488,171.95648,172.199,-27.4,-0.16,
05/25/2023 06:00,172.266,172.519,172.139,172.475,20.9,0.12,
05/25/2023 05:00,172.244,172.4,172.171,172.291,4.7,0.03,
05/25/2023 04:00,172.329,172.36259,172.19,172.242,-8.7,-0.05,
05/25/2023 03:00,172.357,172.414,172.25,172.33,-2.7,-0.02,
05/25/2023 02:00,172.352,172.41653,172.26,172.36,0.8,0.00,
